time,ukf_X x,ukf_X y,ukf_X z,ukf_X k
2026-06-10T21:20:00Z,0.643673300743103,0.2580871284008026,0.44770678877830505,0.5644771456718445
2026-06-10T21:20:10Z,0.3694584369659424,0.23746727406978607,0.5602522492408752,0.7023013830184937
2026-06-10T21:20:20Z,0.38754552602767944,0.26364442706108093,0.5416698455810547,0.6977778673171997
2026-06-10T21:20:30Z,0.49427172541618347,0.2866383492946625,0.48317620158195496,0.6633812785148621
2026-06-10T21:20:40Z,0.5704821944236755,0.2960008978843689,0.42969101667404175,0.6342705488204956
2026-06-10T21:21:00Z,0.6810566782951355,0.30602434277534485,0.32532060146331787,0.5802391171455383
2026-06-10T21:21:10Z,0.7221640348434448,0.3114672601222992,0.270181268453598,0.5554000735282898
2026-06-10T21:21:20Z,0.7669779658317566,0.31504306197166443,0.20713883638381958,0.5192168354988098
2026-06-10T21:21:30Z,0.8240676522254944,0.3160210847854614,0.11043961346149445,0.4569970667362213
2026-06-10T21:21:40Z,0.8531676530838013,0.3169541656970978,0.01782311126589775,0.41391709446907043
2026-06-10T21:21:50Z,0.8619309067726135,0.3202645182609558,-0.05930079519748688,0.3885732591152191
2026-06-10T21:22:00Z,0.8569691181182861,0.3223971426486969,-0.14169639348983765,0.3762793242931366
2026-06-10T21:22:10Z,0.842613697052002,0.3212348520755768,-0.21368783712387085,0.37569648027420044
2026-06-10T21:22:20Z,0.8171852827072144,0.31892338395118713,-0.28747785091400146,0.3845159709453583
2026-06-10T21:22:30Z,0.7844647765159607,0.3133469820022583,-0.33067482709884644,0.4208122491836548
2026-06-10T21:22:40Z,0.7408613562583923,0.2953793406486511,-0.3650628626346588,0.4802130162715912
2026-06-10T21:22:50Z,0.7042052149772644,0.27259519696235657,-0.40226641297340393,0.5176568627357483
2026-06-10T21:23:00Z,0.6683498024940491,0.24835962057113647,-0.4406726062297821,0.5453748106956482
2026-06-10T21:23:10Z,0.6393043994903564,0.22860495746135712,-0.4739736318588257,0.5606948137283325
2026-06-10T21:23:30Z,0.5907915234565735,0.21983608603477478,-0.581024706363678,0.5148279666900635
2026-06-10T21:23:40Z,0.5722303986549377,0.2212837189435959,-0.590417742729187,0.5243977308273315
2026-06-10T21:23:50Z,0.5444876551628113,0.2153475284576416,-0.611914873123169,0.5317131280899048
2026-06-10T21:24:00Z,0.5166563391685486,0.21086566150188446,-0.6287367343902588,0.5415643453598022
2026-06-10T21:24:10Z,0.4947722852230072,0.209615558385849,-0.6419225931167603,0.5469890236854553
2026-06-10T21:24:30Z,0.45576074719429016,0.2079511284828186,-0.663969874382019,0.5551419258117676
2026-06-10T21:24:40Z,0.43816077709198,0.20862369239330292,-0.6721479296684265,0.5592033863067627
2026-06-10T21:24:50Z,0.42370572686195374,0.20782043039798737,-0.6786463260650635,0.5627818703651428
2026-06-10T21:25:00Z,0.4082355201244354,0.20794221758842468,-0.6851376891136169,0.5662951469421387
2026-06-10T21:25:10Z,0.39396747946739197,0.20845891535282135,-0.6905562281608582,0.5696197152137756
2026-06-10T21:25:20Z,0.38140830397605896,0.20942366123199463,-0.6949769258499146,0.5724304914474487
2026-06-10T21:25:30Z,0.3671858012676239,0.2116030603647232,-0.6994545459747314,0.5754668116569519
2026-06-10T21:25:40Z,0.3555295467376709,0.21366535127162933,-0.7027233242988586,0.5780362486839294
2026-06-10T21:25:50Z,0.34331607818603516,0.21572138369083405,-0.7058846950531006,0.580797016620636

